"Checked"	"Master"	"Accession"	"Description"	"Coverage"	"# Peptides"	"# PSMs"	"# Unique Peptides"	"# Protein Groups"	"# AAs"	"MW [kDa]"	"calc. pI"	"Modifications"	"Abundance Ratio: (127N, Pyr) / (126, Pyr)"	"Abundance Ratio: (128N, Pyr) / (126, Pyr)"	"Abundance Ratio: (127C, Pyr) / (126, Pyr)"	"Abundance Ratio: (128C, Pyr) / (126, Pyr)"	"Abundance Ratio: (129N, Pyr) / (126, Pyr)"	"Abundance Ratio: (129C, Pyr) / (126, Pyr)"	"Abundance Ratio: (130N, Pyr) / (126, Pyr)"	"Abundance Ratio: (130C, Pyr) / (126, Pyr)"	"Abundance Ratio: (131, Pyr) / (126, Pyr)"	"Abundance: F4: 126, Sample, Pyr"	"Abundance: F4: 127N, Sample, Pyr"	"Abundance: F4: 127C, Sample, Pyr"	"Abundance: F4: 128N, Sample, Pyr"	"Abundance: F4: 128C, Sample, Pyr"	"Abundance: F4: 129N, Sample, Pyr"	"Abundance: F4: 129C, Sample, Pyr"	"Abundance: F4: 130N, Sample, Pyr"	"Abundance: F4: 130C, Sample, Pyr"	"Abundance: F4: 131, Sample, Pyr"	"Abundances Count: F4: 126, Sample, Pyr"	"Abundances Count: F4: 127N, Sample, Pyr"	"Abundances Count: F4: 127C, Sample, Pyr"	"Abundances Count: F4: 128N, Sample, Pyr"	"Abundances Count: F4: 128C, Sample, Pyr"	"Abundances Count: F4: 129N, Sample, Pyr"	"Abundances Count: F4: 129C, Sample, Pyr"	"Abundances Count: F4: 130N, Sample, Pyr"	"Abundances Count: F4: 130C, Sample, Pyr"	"Abundances Count: F4: 131, Sample, Pyr"	"emPAI"	"# Razor Peptides"	"Score Mascot"	"# Peptides Mascot" 
"False"	"IsMasterProtein"	"PF3D7_0602200"	"organism=Plasmodium_falciparum_3D7 | product=MYND finger protein, putative | location=Pf3D7_06_v3:97890-98951(+) | length=252 | sequence_SO=chromosome | SO=protein_coding"	"39.2857142857143"	"8"	"20"	"8"	"1"	"252"	"29.422"	"5.83"	""	"1.030"	"0.710"	"0.972"	"0.242"	"0.207"	"0.167"	"0.169"	"0.136"	"0.134"	"3156.4"	"3249.6"	"3066.9"	"2239.7"	"764.7"	"653.1"	"526.7"	"532.0"	"429.5"	"421.5"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"3.87"	"0"	"536.080588235294"	"8"
"False"	"IsMasterProtein"	"PF3D7_1437400"	"organism=Plasmodium_falciparum_3D7 | product=pantothenate kinase, putative | location=Pf3D7_14_v3:1517070-1519370(+) | length=766 | sequence_SO=chromosome | SO=protein_coding"	"24.5430809399478"	"18"	"33"	"18"	"1"	"766"	"90.984"	"8.31"	""	"1.017"	"1.125"	"1.025"	"0.502"	"0.292"	"0.155"	"0.103"	"0.075"	"0.059"	"3881.2"	"3947.7"	"3978.0"	"4367.1"	"1948.8"	"1132.3"	"603.0"	"400.5"	"293.0"	"227.4"	"18"	"18"	"18"	"18"	"18"	"18"	"18"	"18"	"18"	"18"	"1.812"	"0"	"535.008993973256"	"18"
"False"	"IsMasterProtein"	"PF3D7_1461900"	"organism=Plasmodium_falciparum_3D7 | product=valine--tRNA ligase, putative | location=Pf3D7_14_v3:2514673-2517945(+) | length=1090 | sequence_SO=chromosome | SO=protein_coding"	"22.2018348623853"	"23"	"41"	"23"	"1"	"1090"	"127.989"	"6.87"	""	"0.998"	"0.353"	"0.784"	"0.154"	"0.110"	"0.088"	"0.081"	"0.065"	"0.056"	"7768.8"	"7749.6"	"6093.8"	"2742.6"	"1192.8"	"856.9"	"686.3"	"633.1"	"507.2"	"437.7"	"27"	"27"	"27"	"27"	"27"	"27"	"27"	"27"	"27"	"27"	"1.772"	"0"	"533.92"	"23"
"False"	"IsMasterProtein"	"PF3D7_1436900"	"organism=Plasmodium_falciparum_3D7 | product=histidine triad protein, putative | location=Pf3D7_14_v3:1500128-1500965(-) | length=200 | sequence_SO=chromosome | SO=protein_coding"	"36"	"6"	"17"	"6"	"1"	"200"	"23.58"	"6.13"	""	"1.051"	"1.169"	"1.071"	"0.888"	"0.732"	"0.425"	"0.200"	"0.105"	"0.071"	"1788.3"	"1879.6"	"1915.3"	"2091.0"	"1587.2"	"1309.6"	"760.8"	"358.1"	"188.0"	"127.8"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"7.254"	"0"	"533.166578655485"	"6"
"False"	"IsMasterProtein"	"PF3D7_1026000"	"organism=Plasmodium_falciparum_3D7 | product=conserved Plasmodium protein, unknown function | location=Pf3D7_10_v3:1098455-1099882(-) | length=363 | sequence_SO=chromosome | SO=protein_coding"	"26.9972451790634"	"13"	"52"	"12"	"1"	"363"	"43.128"	"8.6"	""	"1.062"	"1.216"	"1.029"	"0.931"	"0.915"	"0.954"	"1.021"	"0.860"	"0.945"	"5848.7"	"6211.4"	"6016.9"	"7111.8"	"5445.9"	"5353.8"	"5578.3"	"5972.2"	"5028.8"	"5529.4"	"19"	"19"	"19"	"19"	"19"	"19"	"19"	"19"	"19"	"19"	"53.117"	"2"	"532.477844771966"	"13"
"False"	"IsMasterProtein"	"PF3D7_1142500"	"organism=Plasmodium_falciparum_3D7 | product=60S ribosomal protein L28 (RPL28) | location=Pf3D7_11_v3:1705696-1706573(-) | length=127 | sequence_SO=chromosome | SO=protein_coding"	"46.4566929133858"	"6"	"34"	"6"	"1"	"127"	"14.398"	"10.15"	""	"0.998"	"0.628"	"0.565"	"0.714"	"0.629"	"0.624"	"0.742"	"0.586"	"0.574"	"2881.4"	"2876.3"	"1628.0"	"1809.8"	"2058.2"	"1813.2"	"1798.4"	"2137.2"	"1688.0"	"1654.0"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"20.544"	"0"	"530.43"	"6"
"False"	"IsMasterProtein"	"PF3D7_0802200"	"organism=Plasmodium_falciparum_3D7 | product=1-cys peroxiredoxin (1-CysPxn) | location=Pf3D7_08_v3:165416-166078(+) | length=220 | sequence_SO=chromosome | SO=protein_coding"	"50.4545454545455"	"13"	"67"	"13"	"1"	"220"	"25.148"	"6.77"	""	"1.047"	"1.081"	"1.055"	"0.672"	"0.395"	"0.206"	"0.173"	"0.122"	"0.100"	"3371.6"	"3530.7"	"3558.3"	"3644.1"	"2266.0"	"1333.1"	"693.7"	"583.8"	"411.4"	"337.1"	"16"	"16"	"16"	"16"	"16"	"16"	"16"	"16"	"16"	"16"	"17.478"	"0"	"530.426697967575"	"13"
"False"	"IsMasterProtein"	"PF3D7_1247400"	"organism=Plasmodium_falciparum_3D7 | product=FK506-binding protein (FKBP)-type peptidyl-prolyl isomerase (FKBP35) | location=Pf3D7_12_v3:1955124-1956038(-) | length=304 | sequence_SO=chromosome | SO=protein_coding"	"40.7894736842105"	"15"	"51"	"15"	"1"	"304"	"34.805"	"5.47"	""	"0.988"	"0.829"	"0.923"	"0.396"	"0.239"	"0.152"	"0.150"	"0.109"	"0.094"	"6098.6"	"6025.5"	"5630.9"	"5053.8"	"2413.4"	"1459.4"	"929.8"	"913.8"	"666.1"	"576.3"	"19"	"19"	"19"	"19"	"19"	"19"	"19"	"19"	"19"	"19"	"12.895"	"0"	"529.658644560729"	"15"
"False"	"IsMasterProtein"	"PF3D7_1417500"	"organism=Plasmodium_falciparum_3D7 | product=H/ACA ribonucleoprotein complex subunit 4, putative (CBF5) | location=Pf3D7_14_v3:726979-728379(-) | length=466 | sequence_SO=chromosome | SO=protein_coding"	"10.0858369098712"	"4"	"15"	"4"	"1"	"466"	"52.908"	"8.92"	""	"1.049"	"1.446"	"1.056"	"0.930"	"0.885"	"0.923"	"0.948"	"0.780"	"0.819"	"1396.8"	"1464.6"	"1475.0"	"2019.6"	"1299.6"	"1235.5"	"1288.8"	"1324.6"	"1089.2"	"1143.7"	"6"	"6"	"6"	"6"	"6"	"6"	"6"	"6"	"6"	"6"	"0.911"	"0"	"529.13851390976"	"4"
"False"	"IsMasterProtein"	"PF3D7_1213600"	"organism=Plasmodium_falciparum_3D7 | product=dynein light chain 1, putative (DLC8) | location=Pf3D7_12_v3:586809-587090(+) | length=93 | sequence_SO=chromosome | SO=protein_coding"	"43.010752688172"	"3"	"21"	"2"	"1"	"93"	"10.757"	"7.99"	""	"1.046"	"1.103"	"1.046"	"0.813"	"0.632"	"0.397"	"0.215"	"0.107"	"0.067"	"783.9"	"820.1"	"820.1"	"864.3"	"637.5"	"495.7"	"311.0"	"168.5"	"84.2"	"52.8"	"5"	"5"	"5"	"5"	"5"	"5"	"5"	"5"	"5"	"5"	"157.489"	"1"	"529.018461538461"	"3"
"False"	"IsMasterProtein"	"PF3D7_1212900"	"organism=Plasmodium_falciparum_3D7 | product=bromodomain protein 2, putative (BDP2) | location=Pf3D7_12_v3:568569-571835(-) | length=1088 | sequence_SO=chromosome | SO=protein_coding"	"12.3161764705882"	"13"	"37"	"13"	"1"	"1088"	"125.373"	"9.13"	""	"0.982"	"0.976"	"0.965"	"0.615"	"0.554"	"0.568"	"0.592"	"0.478"	"0.504"	"3315.2"	"3257.0"	"3200.0"	"3236.5"	"2037.3"	"1836.9"	"1883.7"	"1963.9"	"1583.2"	"1671.6"	"19"	"19"	"19"	"19"	"19"	"19"	"19"	"19"	"19"	"19"	"1.264"	"0"	"526.533333170629"	"13"
"False"	"IsMasterProtein"	"PF3D7_0614300"	"organism=Plasmodium_falciparum_3D7 | product=organic anion transporter | location=Pf3D7_06_v3:597484-600517(-) | length=853 | sequence_SO=chromosome | SO=protein_coding"	"16.0609613130129"	"13"	"33"	"13"	"1"	"853"	"96.918"	"7.8"	""	"1.010"	"1.079"	"0.982"	"0.716"	"0.697"	"0.709"	"0.724"	"0.618"	"0.661"	"2651.9"	"2677.4"	"2603.0"	"2862.0"	"1899.1"	"1848.9"	"1879.8"	"1920.5"	"1639.9"	"1753.8"	"20"	"20"	"20"	"20"	"20"	"20"	"20"	"20"	"20"	"20"	"1.929"	"0"	"524.046716162251"	"13"
"False"	"IsMasterProtein"	"PF3D7_0323800"	"organism=Plasmodium_falciparum_3D7 | product=conserved Plasmodium protein, unknown function | location=Pf3D7_03_v3:998649-1001582(+) | length=977 | sequence_SO=chromosome | SO=protein_coding"	"22.1084953940635"	"17"	"30"	"17"	"1"	"977"	"114.771"	"8.53"	""	"1.014"	"0.905"	"0.958"	"0.583"	"0.562"	"0.554"	"0.563"	"0.492"	"0.510"	"2487.6"	"2523.1"	"2383.0"	"2252.0"	"1451.5"	"1398.3"	"1378.1"	"1399.3"	"1224.3"	"1269.0"	"23"	"23"	"23"	"23"	"23"	"23"	"23"	"23"	"23"	"23"	"2.615"	"0"	"521.322008495923"	"17"
"False"	"IsMasterProtein"	"PF3D7_1023200"	"organism=Plasmodium_falciparum_3D7 | product=orotidine 5'-phosphate decarboxylase (OMPDC) | location=Pf3D7_10_v3:982231-983202(+) | length=323 | sequence_SO=chromosome | SO=protein_coding"	"34.6749226006192"	"11"	"31"	"10"	"1"	"323"	"37.8"	"7.62"	""	"1.038"	"1.160"	"1.076"	"0.931"	"0.823"	"0.727"	"0.559"	"0.270"	"0.175"	"2110.3"	"2191.0"	"2270.9"	"2447.7"	"1965.6"	"1736.3"	"1534.8"	"1180.5"	"568.9"	"369.0"	"15"	"15"	"15"	"15"	"15"	"15"	"15"	"15"	"15"	"15"	"5.579"	"0"	"520.642903039843"	"11"
"False"	"IsMasterProtein"	"PF3D7_1218600"	"organism=Plasmodium_falciparum_3D7 | product=arginine--tRNA ligase, putative | location=Pf3D7_12_v3:732174-734959(-) | length=590 | sequence_SO=chromosome | SO=protein_coding"	"24.0677966101695"	"14"	"30"	"14"	"1"	"590"	"68.392"	"6.89"	""	"0.968"	"0.213"	"0.544"	"0.106"	"0.083"	"0.075"	"0.061"	"0.044"	"0.044"	"5604.9"	"5425.0"	"3047.3"	"1192.0"	"592.5"	"466.3"	"417.7"	"344.3"	"247.4"	"245.3"	"16"	"16"	"16"	"16"	"16"	"16"	"16"	"16"	"16"	"16"	"1.683"	"0"	"519.84802174298"	"14"
"False"	"IsMasterProtein"	"PF3D7_1237400"	"organism=Plasmodium_falciparum_3D7 | product=conserved Plasmodium protein, unknown function | location=Pf3D7_12_v3:1558909-1560623(+) | length=438 | sequence_SO=chromosome | SO=protein_coding"	"28.0821917808219"	"11"	"23"	"11"	"1"	"438"	"51.264"	"7.01"	""	"1.011"	"1.254"	"1.072"	"0.960"	"0.894"	"0.930"	"0.832"	"0.427"	"0.203"	"2092.1"	"2114.5"	"2242.7"	"2623.1"	"2009.1"	"1869.7"	"1945.2"	"1740.2"	"892.3"	"423.9"	"14"	"14"	"14"	"14"	"14"	"14"	"14"	"14"	"14"	"14"	"1.929"	"0"	"519.655185335663"	"11"
"False"	"IsMasterProtein"	"PF3D7_1127800"	"organism=Plasmodium_falciparum_3D7 | product=conserved Plasmodium protein, unknown function | location=Pf3D7_11_v3:1077288-1081550(-) | length=1420 | sequence_SO=chromosome | SO=protein_coding"	"15.6338028169014"	"21"	"31"	"21"	"1"	"1420"	"168.638"	"8.46"	""	"1.008"	"1.121"	"1.022"	"0.858"	"0.806"	"0.796"	"0.758"	"0.639"	"0.624"	"2550.7"	"2571.8"	"2607.0"	"2860.4"	"2187.9"	"2054.6"	"2031.4"	"1932.6"	"1630.8"	"1591.0"	"22"	"22"	"22"	"22"	"22"	"22"	"22"	"22"	"22"	"22"	"1.089"	"0"	"519.64584236248"	"21"
"False"	"IsMasterProtein"	"PF3D7_0408500"	"organism=Plasmodium_falciparum_3D7 | product=flap endonuclease 1 (FEN1) | location=Pf3D7_04_v3:408679-410697(-) | length=672 | sequence_SO=chromosome | SO=protein_coding"	"23.2142857142857"	"13"	"27"	"12"	"1"	"672"	"76.634"	"7.93"	""	"1.016"	"1.076"	"1.041"	"0.733"	"0.597"	"0.527"	"0.491"	"0.484"	"0.439"	"1600.8"	"1626.3"	"1666.1"	"1722.6"	"1173.7"	"955.8"	"842.9"	"785.9"	"775.4"	"703.2"	"15"	"15"	"15"	"15"	"15"	"15"	"15"	"15"	"15"	"15"	"1.415"	"1"	"518.280076711087"	"13"
"False"	"IsMasterProtein"	"PF3D7_1122500"	"organism=Plasmodium_falciparum_3D7 | product=conserved Plasmodium protein, unknown function | location=Pf3D7_11_v3:853355-859225(+) | length=1956 | sequence_SO=chromosome | SO=protein_coding"	"10.7361963190184"	"18"	"25"	"18"	"1"	"1956"	"230.869"	"7.99"	""	"1.001"	"1.039"	"0.991"	"0.750"	"0.741"	"0.731"	"0.778"	"0.670"	"0.706"	"1953.6"	"1956.3"	"1935.8"	"2029.9"	"1466.0"	"1447.1"	"1427.4"	"1519.5"	"1309.0"	"1380.0"	"21"	"21"	"21"	"21"	"21"	"21"	"21"	"21"	"21"	"21"	"0.472"	"0"	"517.492858867018"	"18"
"False"	"IsMasterProtein"	"PF3D7_0411900"	"organism=Plasmodium_falciparum_3D7 | product=DNA polymerase alpha | location=Pf3D7_04_v3:528192-534485(-) | length=1912 | sequence_SO=chromosome | SO=protein_coding"	"8.94351464435147"	"17"	"25"	"17"	"1"	"1912"	"225.26"	"8.31"	""	"1.023"	"0.606"	"0.755"	"0.425"	"0.417"	"0.400"	"0.436"	"0.346"	"0.409"	"2969.9"	"3038.0"	"2243.0"	"1800.8"	"1263.0"	"1239.6"	"1186.8"	"1294.6"	"1028.3"	"1215.4"	"18"	"18"	"18"	"18"	"18"	"18"	"18"	"18"	"18"	"18"	"0.534"	"0"	"517.374105504134"	"17"
"False"	"IsMasterProtein"	"PF3D7_1408100"	"organism=Plasmodium_falciparum_3D7 | product=plasmepsin III (HAP) | location=Pf3D7_14_v3:297468-298823(+) | length=451 | sequence_SO=chromosome | SO=protein_coding"	"23.7250554323725"	"10"	"35"	"10"	"1"	"451"	"51.661"	"8.02"	""	"1.007"	"0.907"	"0.930"	"0.492"	"0.427"	"0.363"	"0.311"	"0.188"	"0.130"	"6029.6"	"6071.8"	"5606.0"	"5470.0"	"2968.0"	"2573.6"	"2189.8"	"1878.1"	"1134.4"	"784.9"	"11"	"11"	"11"	"11"	"11"	"11"	"11"	"11"	"11"	"11"	"1.593"	"0"	"516.88754677064"	"10"
"False"	"IsMasterProtein"	"PF3D7_1241200"	"organism=Plasmodium_falciparum_3D7 | product=conserved Plasmodium protein, unknown function | location=Pf3D7_12_v3:1748873-1756237(-) | length=2309 | sequence_SO=chromosome | SO=protein_coding"	"6.88609787786921"	"14"	"28"	"14"	"1"	"2309"	"276.359"	"8.18"	""	"1.072"	"1.188"	"1.031"	"0.880"	"0.865"	"0.860"	"0.894"	"0.767"	"0.792"	"1399.9"	"1500.1"	"1443.4"	"1663.4"	"1232.2"	"1211.1"	"1204.2"	"1251.6"	"1073.7"	"1109.0"	"17"	"17"	"17"	"17"	"17"	"17"	"17"	"17"	"17"	"17"	"0.369"	"0"	"516.197752842596"	"14"
"False"	"IsMasterProtein"	"PF3D7_1201500"	"organism=Plasmodium_falciparum_3D7 | product=XPA binding protein 1, putative | location=Pf3D7_12_v3:98978-100471(+) | length=497 | sequence_SO=chromosome | SO=protein_coding"	"32.9979879275654"	"15"	"38"	"15"	"1"	"497"	"57.608"	"5.78"	"Acetyl [N-Term]"	"1.028"	"0.847"	"0.950"	"0.551"	"0.528"	"0.547"	"0.584"	"0.476"	"0.500"	"3788.1"	"3894.0"	"3597.3"	"3208.3"	"2088.0"	"1999.6"	"2071.1"	"2213.8"	"1804.8"	"1894.4"	"19"	"19"	"19"	"19"	"19"	"19"	"19"	"19"	"19"	"19"	"3.437"	"0"	"515.927384906176"	"15"
"False"	"IsMasterProtein"	"PF3D7_0412000"	"organism=Plasmodium_falciparum_3D7 | product=conserved Plasmodium protein, unknown function | location=Pf3D7_04_v3:536774-539110(+) | length=778 | sequence_SO=chromosome | SO=protein_coding"	"19.9228791773779"	"9"	"32"	"9"	"1"	"778"	"92.139"	"5.31"	""	"1.057"	"1.209"	"1.030"	"0.919"	"0.906"	"0.932"	"1.008"	"0.797"	"0.875"	"2263.7"	"2392.8"	"2331.6"	"2737.6"	"2080.2"	"2050.3"	"2108.9"	"2280.8"	"1804.6"	"1980.0"	"13"	"13"	"13"	"13"	"13"	"13"	"13"	"13"	"13"	"13"	"1.664"	"0"	"515.75"	"9"
"False"	"IsMasterProtein"	"PF3D7_1241900"	"organism=Plasmodium_falciparum_3D7 | product=tetratricopeptide repeat protein, putative | location=Pf3D7_12_v3:1784380-1786410(+) | length=676 | sequence_SO=chromosome | SO=protein_coding"	"28.2544378698225"	"18"	"28"	"18"	"1"	"676"	"79.752"	"4.88"	""	"0.982"	"0.922"	"0.920"	"0.674"	"0.647"	"0.647"	"0.664"	"0.588"	"0.574"	"2520.5"	"2476.1"	"2319.4"	"2324.9"	"1699.7"	"1630.7"	"1631.5"	"1674.1"	"1482.8"	"1445.6"	"21"	"21"	"21"	"21"	"21"	"21"	"21"	"21"	"21"	"21"	"1.769"	"0"	"514.03846230127"	"18"
"False"	"IsMasterProtein"	"PF3D7_1113400"	"organism=Plasmodium_falciparum_3D7 | product=ubiquitin domain-containing protein DSK2, putative (DSK2) | location=Pf3D7_11_v3:521122-522824(-) | length=388 | sequence_SO=chromosome | SO=protein_coding"	"28.3505154639175"	"8"	"34"	"8"	"1"	"388"	"42.68"	"4.7"	""	"1.339"	"1.130"	"1.007"	"0.819"	"0.789"	"0.827"	"0.817"	"0.711"	"0.594"	"2317.6"	"3103.0"	"2332.8"	"2618.7"	"1897.4"	"1828.1"	"1915.5"	"1892.9"	"1647.0"	"1377.7"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"0"	"512.39037807223"	"8"
"False"	"IsMasterProtein"	"PF3D7_1140200"	"organism=Plasmodium_falciparum_3D7 | product=conserved Plasmodium protein, unknown function | location=Pf3D7_11_v3:1601257-1603078(-) | length=447 | sequence_SO=chromosome | SO=protein_coding"	"29.7539149888143"	"12"	"31"	"12"	"1"	"447"	"52.581"	"4.51"	"Acetyl [N-Term]"	"1.030"	"1.046"	"0.997"	"0.741"	"0.689"	"0.683"	"0.699"	"0.582"	"0.633"	"2304.0"	"2373.5"	"2297.2"	"2409.7"	"1707.0"	"1587.1"	"1572.9"	"1609.7"	"1341.1"	"1457.4"	"14"	"14"	"14"	"14"	"14"	"14"	"14"	"14"	"14"	"14"	"4.623"	"0"	"511.727450204258"	"12"
"False"	"IsMasterProtein"	"PF3D7_0420300"	"organism=Plasmodium_falciparum_3D7 | product=transcription factor with AP2 domain(s) (ApiAP2) | location=Pf3D7_04_v3:917990-928411(+) | length=3473 | sequence_SO=chromosome | SO=protein_coding"	"8.78203282464728"	"27"	"40"	"26"	"1"	"3473"	"399.922"	"5.97"	""	"1.007"	"1.004"	"0.992"	"0.705"	"0.688"	"0.686"	"0.694"	"0.598"	"0.611"	"1899.8"	"1912.3"	"1884.9"	"1907.5"	"1339.9"	"1306.5"	"1303.9"	"1318.8"	"1136.6"	"1160.2"	"25"	"25"	"25"	"25"	"25"	"25"	"25"	"25"	"25"	"25"	"0.516"	"1"	"511.27257439329"	"27"
"False"	"IsMasterProtein"	"PF3D7_1443100"	"organism=Plasmodium_falciparum_3D7 | product=conserved Plasmodium protein, unknown function | location=Pf3D7_14_v3:1769626-1771350(-) | length=574 | sequence_SO=chromosome | SO=protein_coding"	"30.1393728222997"	"16"	"28"	"16"	"1"	"574"	"67.563"	"8.02"	""	"0.984"	"1.016"	"0.997"	"0.628"	"0.572"	"0.581"	"0.585"	"0.532"	"0.517"	"3149.7"	"3098.8"	"3139.5"	"3200.4"	"1978.5"	"1800.6"	"1829.4"	"1844.1"	"1676.2"	"1629.9"	"22"	"22"	"22"	"22"	"22"	"22"	"22"	"22"	"22"	"22"	"2.932"	"0"	"511.179672513848"	"16"
"False"	"IsMasterProtein"	"PF3D7_1002100"	"organism=Plasmodium_falciparum_3D7 | product=EMP1-trafficking protein (PTP5) | location=Pf3D7_10_v3:106653-108662(-) | length=631 | sequence_SO=chromosome | SO=protein_coding"	"38.9857369255151"	"11"	"19"	"11"	"1"	"631"	"69.808"	"6.07"	""	"1.014"	"1.398"	"1.038"	"0.934"	"0.917"	"0.988"	"1.047"	"0.879"	"0.930"	"1824.2"	"1850.4"	"1894.3"	"2549.4"	"1704.0"	"1672.1"	"1801.9"	"1910.6"	"1603.3"	"1697.2"	"13"	"13"	"13"	"13"	"13"	"13"	"13"	"13"	"13"	"13"	"1.075"	"0"	"510.638593494318"	"11"
"False"	"IsMasterProtein"	"PF3D7_0512700"	"organism=Plasmodium_falciparum_3D7 | product=orotate phosphoribosyltransferase (OPRT) | location=Pf3D7_05_v3:546734-547579(-) | length=281 | sequence_SO=chromosome | SO=protein_coding"	"14.9466192170818"	"4"	"18"	"4"	"1"	"281"	"32.985"	"7.27"	""	"1.019"	"1.300"	"1.022"	"0.893"	"0.793"	"0.445"	"0.168"	"0.104"	"0.081"	"2698.1"	"2749.1"	"2758.4"	"3508.6"	"2408.6"	"2140.0"	"1201.7"	"454.0"	"280.3"	"219.7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"7"	"1.581"	"0"	"510.298508690511"	"4"
"False"	"IsMasterProtein"	"PF3D7_1321900"	"organism=Plasmodium_falciparum_3D7 | product=conserved Plasmodium protein, unknown function | location=Pf3D7_13_v3:911667-912545(-) | length=292 | sequence_SO=chromosome | SO=protein_coding"	"19.1780821917808"	"5"	"18"	"5"	"1"	"292"	"32.722"	"8.91"	""	"1.034"	"1.151"	"1.034"	"0.763"	"0.688"	"0.659"	"0.655"	"0.470"	"0.404"	"2548.6"	"2635.4"	"2635.5"	"2932.4"	"1943.9"	"1752.2"	"1680.7"	"1669.7"	"1197.8"	"1030.7"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"1.818"	"0"	"509.391111111111"	"5"
"False"	"IsMasterProtein"	"PF3D7_0505900"	"organism=Plasmodium_falciparum_3D7 | product=conserved Plasmodium protein, unknown function | location=Pf3D7_05_v3:254473-255517(-) | length=126 | sequence_SO=chromosome | SO=protein_coding"	"61.9047619047619"	"7"	"31"	"7"	"1"	"126"	"14.819"	"8.35"	"Acetyl [N-Term]"	"1.032"	"1.081"	"1.024"	"0.607"	"0.429"	"0.363"	"0.358"	"0.329"	"0.337"	"2617.9"	"2702.0"	"2680.8"	"2830.0"	"1588.1"	"1123.7"	"949.0"	"936.2"	"860.4"	"882.6"	"11"	"11"	"11"	"11"	"11"	"11"	"11"	"11"	"11"	"11"	"41.17"	"0"	"509.116100877451"	"7"
"False"	"IsMasterProtein"	"PF3D7_0512200"	"organism=Plasmodium_falciparum_3D7 | product=glutathione synthetase (GS) | location=Pf3D7_05_v3:529934-531901(-) | length=655 | sequence_SO=chromosome | SO=protein_coding"	"26.8702290076336"	"19"	"39"	"19"	"1"	"655"	"77.432"	"7.17"	""	"1.029"	"1.164"	"1.019"	"0.617"	"0.291"	"0.229"	"0.189"	"0.159"	"0.154"	"3884.4"	"3997.1"	"3959.0"	"4521.2"	"2396.8"	"1130.2"	"891.2"	"735.7"	"615.8"	"598.6"	"22"	"22"	"22"	"22"	"22"	"22"	"22"	"22"	"22"	"22"	"2.574"	"0"	"507.774641455378"	"19"
"False"	"IsMasterProtein"	"PF3D7_0303700"	"organism=Plasmodium_falciparum_3D7 | product=lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex (BCKDH-E2) | location=Pf3D7_03_v3:191245-192591(-) | length=448 | sequence_SO=chromosome | SO=protein_coding"	"28.7946428571429"	"12"	"29"	"12"	"1"	"448"	"50.958"	"5.62"	""	"0.993"	"1.018"	"0.987"	"0.769"	"0.615"	"0.314"	"0.162"	"0.131"	"0.106"	"2639.4"	"2620.3"	"2604.6"	"2687.4"	"2030.1"	"1624.5"	"828.1"	"427.1"	"345.9"	"280.0"	"16"	"16"	"16"	"16"	"16"	"16"	"16"	"16"	"16"	"16"	"3.262"	"0"	"507.731818181818"	"12"
"False"	"IsMasterProtein"	"PF3D7_1474500"	"organism=Plasmodium_falciparum_3D7 | product=splicing factor 3A subunit 1, putative (SF3A1) | location=Pf3D7_14_v3:3055715-3057820(-) | length=701 | sequence_SO=chromosome | SO=protein_coding"	"13.9800285306705"	"8"	"21"	"8"	"1"	"701"	"83.698"	"5.48"	""	"1.064"	"1.118"	"1.079"	"0.771"	"0.740"	"0.710"	"0.722"	"0.606"	"0.664"	"1090.9"	"1160.6"	"1176.7"	"1219.2"	"841.6"	"807.2"	"774.3"	"787.1"	"660.7"	"724.9"	"11"	"11"	"11"	"11"	"11"	"11"	"11"	"11"	"11"	"11"	"1.113"	"0"	"507.261282621258"	"8"
"False"	"IsMasterProtein"	"PF3D7_1409900"	"organism=Plasmodium_falciparum_3D7 | product=cytidine diphosphate-diacylglycerol synthase (CDS) | location=Pf3D7_14_v3:389592-391595(+) | length=667 | sequence_SO=chromosome | SO=protein_coding"	"11.0944527736132"	"6"	"23"	"6"	"1"	"667"	"77.94"	"9.6"	""	"1.019"	"1.213"	"1.025"	"0.960"	"0.943"	"0.971"	"1.044"	"0.870"	"0.949"	"1279.9"	"1304.8"	"1312.3"	"1552.7"	"1229.3"	"1207.4"	"1243.1"	"1336.3"	"1113.7"	"1214.1"	"12"	"12"	"12"	"12"	"12"	"12"	"12"	"12"	"12"	"12"	"1.829"	"0"	"507.174195950396"	"6"
